,channel,transaction_risk_score,processing_type,cc_amount,ledger_balance,cc_acceptor_state,cc_acceptor_country,cardholder_presence,card_presence,partial_approval_capable,is_fraud,hour,month,dayofweek,year
48,ECOMMERCE,35.0,MANUAL,38.0,341.97,AR,US,0,0,0,0,5,12,3,2018
49,OTHER,29.0,MANUAL,10.09,2883.29,NY,US,0,0,0,0,18,12,3,2018
50,ECOMMERCE,32.0,UNKNOWN,28.0,8227.71,CA,US,0,0,0,0,19,12,3,2018
51,ECOMMERCE,14.0,MANUAL,51.79,172.25,IN,US,0,0,0,0,17,12,3,2018
52,ECOMMERCE,30.0,MANUAL,14.0,2778.46,CA,US,0,0,0,0,5,12,3,2018
53,ECOMMERCE,47.0,MANUAL,106.63,3419.83,AR,US,0,0,0,0,3,12,3,2018
54,ECOMMERCE,33.0,MANUAL,40.0,1820.2,CA,US,0,0,0,0,21,12,3,2018
55,OTHER,27.0,CHIP,3.59,323.72,NY,US,1,1,1,0,20,12,3,2018
56,OTHER,30.0,MANUAL,19.19,3713.58,NY,US,0,0,0,0,18,12,3,2018
57,ECOMMERCE,32.0,UNKNOWN,15.88,8255.71,CA,US,0,0,0,0,18,12,3,2018
58,OTHER,27.0,CHIP,7.53,30.0,CA,US,1,1,0,0,16,12,3,2018
59,ECOMMERCE,10.0,MANUAL,13.16,1129.17,WA,US,0,0,0,0,21,12,3,2018
60,ECOMMERCE,26.0,MANUAL,37.65,851.1,CA,US,0,0,0,0,22,12,3,2018
61,ECOMMERCE,10.0,MANUAL,3.23,0.0,CA,US,0,0,0,0,22,12,3,2018
62,ECOMMERCE,27.0,MANUAL,30.99,5950.79,CA,US,0,0,0,0,16,12,3,2018
63,OTHER,23.0,CHIP,59.83,11.83,TX,US,1,1,1,0,3,12,3,2018
64,ECOMMERCE,22.0,MANUAL,521.88,284.16,CA,US,0,0,1,0,13,12,3,2018
65,ECOMMERCE,29.0,MANUAL,30.25,3265.19,CA,US,0,0,0,0,4,12,3,2018
66,ECOMMERCE,33.0,MANUAL,63.92,1116.62,AR,US,0,0,0,0,6,12,3,2018
67,ECOMMERCE,29.0,MANUAL,30.99,5021.7,CA,US,0,0,0,0,18,12,3,2018
68,ECOMMERCE,32.0,MANUAL,23.11,1872.2,CA,US,0,0,0,0,2,12,3,2018
69,ECOMMERCE,22.0,UNKNOWN,25.0,34.91,TX,US,0,0,0,0,17,12,3,2018
70,,61.0,,52.79,,,,,,,1,0,12,3,2018
71,,76.0,,52.79,,,,,,,1,0,12,3,2018
72,,78.0,,52.79,,,,,,,1,0,12,3,2018
73,,86.0,,52.79,,,,,,,1,0,12,3,2018
74,,64.0,,52.79,,,,,,,1,0,12,3,2018
75,,43.0,,52.79,,,,,,,1,0,12,3,2018
76,,83.0,,52.79,,,,,,,1,0,12,3,2018
77,,83.0,,52.79,,,,,,,1,0,12,3,2018
78,ECOMMERCE,32.0,MANUAL,25.87,9263.97,AR,US,0,0,0,0,23,12,3,2018
79,OTHER,25.0,MAGSTRIPE,10.01,49.63,TX,US,1,1,1,0,3,12,3,2018
80,OTHER,23.0,CHIP,8.07,457.53,CO,US,1,1,1,0,22,12,3,2018
81,ECOMMERCE,37.0,MANUAL,53.8,737.52,AR,US,0,0,0,0,7,12,3,2018
82,ECOMMERCE,27.0,MANUAL,69.99,7677.69,AR,US,0,0,0,0,9,12,3,2018
83,ECOMMERCE,17.0,MANUAL,53.73,660.87,MA,US,0,0,0,0,0,12,3,2018
84,ECOMMERCE,28.0,MANUAL,23.0,7364.32,CA,US,0,0,0,0,20,12,3,2018
85,ECOMMERCE,30.0,MANUAL,37.99,3564.63,CA,US,0,0,0,0,9,12,3,2018
86,ECOMMERCE,32.0,MANUAL,50.65,1241.72,CA,US,0,0,0,0,16,12,3,2018
87,OTHER,25.0,MANUAL,7.9,3443.02,NY,US,0,0,0,0,15,12,3,2018
88,ECOMMERCE,28.0,MANUAL,13.99,3218.4,CA,US,0,0,0,0,4,12,3,2018
89,ECOMMERCE,34.0,MANUAL,38.94,3889.49,NJ,US,0,0,0,0,22,12,3,2018
90,ECOMMERCE,4.0,MANUAL,4.98,405.62,CA,US,0,0,0,0,8,12,3,2018
91,OTHER,22.0,MAGSTRIPE,1.9,0.0,IN,US,1,1,0,0,16,12,3,2018
92,OTHER,17.0,CHIP,37.59,356.37,MD,US,1,1,1,0,19,12,3,2018
93,ECOMMERCE,16.0,MANUAL,25.0,555.82,CA,US,0,0,0,0,21,12,3,2018
94,OTHER,24.0,CHIP,12.0,26.63,CA,US,0,0,1,0,18,12,3,2018
95,ECOMMERCE,31.0,MANUAL,31.9,5251.55,CA,US,0,0,0,0,18,12,3,2018
96,OTHER,31.0,CHIP,21.7,0.0,NY,US,1,1,1,0,17,12,3,2018
97,ECOMMERCE,16.0,MANUAL,26.99,236.48,WA,US,0,0,0,0,9,12,3,2018
98,ECOMMERCE,23.0,MANUAL,50.0,0.0,NV,US,0,0,0,0,16,12,3,2018
99,ECOMMERCE,47.0,MANUAL,12.07,3660.4,AR,US,0,0,0,0,17,12,3,2018
100,ECOMMERCE,31.0,MANUAL,31.5,6637.09,CA,US,0,0,0,0,17,12,3,2018
101,ECOMMERCE,32.0,MANUAL,30.99,4846.8,CA,US,0,0,0,0,19,12,3,2018
102,ECOMMERCE,12.0,MANUAL,19.04,3849.85,NY,US,0,0,0,0,13,12,3,2018
103,ECOMMERCE,25.0,MANUAL,49.69,1089.83,CA,US,0,0,0,0,19,12,3,2018
104,ECOMMERCE,23.0,MANUAL,112.34,10595.62,AR,US,0,0,0,0,22,1,6,2019
105,OTHER,28.0,CHIP,17.08,844.83,CA,US,1,1,1,0,1,1,6,2019
106,OTHER,22.0,CHIP,10.0,0.0,KY,US,1,1,1,0,18,1,6,2019
107,OTHER,22.0,CHIP,33.33,81.72,WA,US,1,1,0,0,19,1,6,2019
108,ECOMMERCE,31.0,MANUAL,84.99,8459.36,AR,US,0,0,0,0,0,1,6,2019
109,ECOMMERCE,35.0,MANUAL,35.07,417.8,AR,US,0,0,0,0,5,1,6,2019
110,ECOMMERCE,21.0,MANUAL,32.5,7250.69,CA,US,0,0,0,0,14,1,6,2019
111,ECOMMERCE,34.0,MANUAL,109.9,973.76,CA,US,0,0,0,0,0,1,6,2019
112,ECOMMERCE,29.0,MANUAL,52.31,1395.91,NJ,US,0,0,0,0,22,1,6,2019
113,OTHER,20.0,CHIP,4.04,0.0,IN,US,1,1,1,0,23,1,6,2019
114,ECOMMERCE,8.0,MANUAL,48.41,4.64,NY,US,0,0,0,0,23,1,6,2019
115,ECOMMERCE,5.0,MANUAL,2.0,5828.44,UT,US,0,0,0,0,17,1,6,2019
116,OTHER,23.0,CHIP,9.7,0.0,TX,US,1,1,1,0,18,1,6,2019
117,OTHER,22.0,CHIP,48.52,50.0,MI,US,1,1,1,0,20,1,6,2019
118,ECOMMERCE,18.0,MANUAL,53.98,6346.39,CA,US,0,0,0,0,17,1,6,2019
119,OTHER,29.0,CHIP,20.0,48.48,CA,US,1,1,0,0,0,1,6,2019
120,OTHER,31.0,CHIP,31.22,112.18,FL,US,1,1,1,0,20,1,6,2019
121,ECOMMERCE,29.0,MANUAL,163.07,820.06,UT,US,0,0,0,0,19,1,6,2019
122,,74.0,,52.79,,,,,,,1,0,1,6,2019
123,ECOMMERCE,29.0,MANUAL,48.51,13390.24,AR,US,0,0,0,0,2,1,6,2019
124,OTHER,25.0,CHIP,3.16,46.64,TX,US,1,1,1,0,4,1,6,2019
125,OTHER,21.0,CHIP,21.74,42.85,VA,US,1,1,0,0,19,1,6,2019
126,ECOMMERCE,16.0,MANUAL,31.92,761.76,AR,US,0,0,0,0,1,1,6,2019
127,ECOMMERCE,13.0,MANUAL,30.5,15.79,WA,US,0,0,0,0,13,1,6,2019
128,OTHER,30.0,CHIP,182.6,369.4,VA,US,1,1,0,0,18,1,6,2019
129,ECOMMERCE,28.0,MANUAL,64.34,1714.14,AR,US,0,0,0,0,3,1,6,2019
130,OTHER,30.0,CHIP,16.55,194.77,TN,US,1,1,0,0,2,1,6,2019
131,ECOMMERCE,27.0,MANUAL,25.83,363.47,CA,US,0,0,0,0,19,1,6,2019
132,ECOMMERCE,15.0,MANUAL,32.5,4637.92,CA,US,0,0,0,0,6,1,6,2019
133,ECOMMERCE,27.0,MANUAL,44.48,2061.71,NJ,US,0,0,0,0,22,1,6,2019
134,ECOMMERCE,21.0,MANUAL,25.49,2383.58,WA,US,0,0,0,0,1,1,6,2019
135,ECOMMERCE,23.0,MANUAL,1.34,4.02,,GB,0,0,0,0,22,1,6,2019
136,ECOMMERCE,14.0,MANUAL,38.95,25.0,IL,US,0,0,0,0,7,1,6,2019
137,ECOMMERCE,19.0,MANUAL,10.0,143.99,CA,US,0,0,0,0,2,1,6,2019
138,ECOMMERCE,18.0,MANUAL,32.5,5081.49,CA,US,0,0,0,0,5,1,6,2019
139,ECOMMERCE,17.0,MANUAL,7.99,2741.99,WA,US,0,0,0,0,1,1,6,2019
140,ECOMMERCE,27.0,MANUAL,38.25,223.19,AR,US,0,0,0,0,5,1,6,2019
141,ECOMMERCE,27.0,MANUAL,25.49,2409.07,WA,US,0,0,0,0,1,1,6,2019
142,ECOMMERCE,33.0,MANUAL,47.54,540.15,AR,US,0,0,0,0,5,1,6,2019
143,OTHER,28.0,CHIP,248.51,420.34,SC,US,1,1,0,0,3,1,6,2019
144,ECOMMERCE,26.0,MANUAL,36.45,109.35,WY,US,0,0,0,0,18,1,6,2019
145,OTHER,29.0,MANUAL,561.71,1439.7,,BS,0,0,0,0,4,1,6,2019
146,ECOMMERCE,14.0,MANUAL,34.0,127.63,CA,US,0,0,0,0,14,1,6,2019
147,OTHER,13.0,CHIP,3.82,1033.73,AL,US,1,1,1,0,20,1,0,2019
148,OTHER,26.0,CHIP,26.35,31.68,NV,US,1,1,1,0,21,1,0,2019
149,ECOMMERCE,22.0,MANUAL,25.55,88.94,AR,US,0,0,0,0,15,1,0,2019
150,ECOMMERCE,9.0,MANUAL,50.72,259.49,OH,US,0,0,0,0,8,1,0,2019
151,ECOMMERCE,22.0,MANUAL,129.96,2383.08,WA,US,0,0,0,0,9,1,0,2019
152,ECOMMERCE,3.0,MANUAL,21.48,1461.85,WA,US,0,0,0,0,8,1,0,2019
153,ECOMMERCE,12.0,MANUAL,14.4,915.85,CA,US,0,0,0,0,2,1,0,2019
154,ECOMMERCE,18.0,MANUAL,25.49,2434.56,WA,US,0,0,0,0,10,1,0,2019
155,ECOMMERCE,29.0,MANUAL,21.33,21.68,CA,US,0,0,0,0,15,1,0,2019
156,ECOMMERCE,10.0,MANUAL,225.37,0.0,WI,US,0,0,0,0,13,1,0,2019
157,ECOMMERCE,26.0,MANUAL,15.4,0.04,NJ,US,0,0,0,0,2,1,0,2019
158,ECOMMERCE,8.0,MANUAL,29.99,148.17,MD,US,0,0,0,0,5,1,0,2019
159,ECOMMERCE,12.0,MANUAL,9.99,480.48,WA,US,0,0,0,0,10,1,0,2019
160,,99.0,,52.79,,,,,,,1,0,1,0,2019
161,ECOMMERCE,3.0,MANUAL,43.61,52.78,CA,US,0,0,0,0,18,1,0,2019
162,OTHER,31.0,CHIP,27.35,348.85,VA,US,1,1,0,0,19,1,0,2019
163,OTHER,14.0,CHIP,12.0,2.87,AZ,US,1,1,1,0,21,1,0,2019
164,ECOMMERCE,17.0,MANUAL,28.63,2263.36,AR,US,0,0,0,0,17,1,0,2019
165,OTHER,19.0,CHIP,97.87,297.02,FL,US,1,1,0,0,18,1,0,2019
166,,99.0,,52.79,,,,,,,1,0,1,0,2019
167,OTHER,11.0,MANUAL,6.42,250.46,MA,US,0,0,0,0,18,1,0,2019
168,,99.0,,52.79,,,,,,,1,0,1,0,2019
169,,99.0,,52.79,,,,,,,1,0,1,0,2019
170,,99.0,,52.79,,,,,,,1,0,1,0,2019
171,,67.0,,52.79,,,,,,,1,0,1,0,2019
172,,99.0,,52.79,,,,,,,1,0,1,0,2019
173,,99.0,,52.79,,,,,,,1,0,1,0,2019
174,ECOMMERCE,18.0,MANUAL,30.99,551.36,CA,US,0,0,0,0,6,1,0,2019
175,OTHER,8.0,MANUAL,32.25,2169.19,IL,US,0,0,0,0,20,1,0,2019
176,ECOMMERCE,28.0,MANUAL,71.5,83.33,WA,US,0,0,0,0,19,1,0,2019
177,OTHER,28.0,CHIP,53.64,286.47,NY,US,1,1,1,0,21,1,0,2019
178,ECOMMERCE,25.0,MANUAL,105.0,0.0,NY,US,0,0,0,0,22,1,0,2019
179,ECOMMERCE,16.0,MANUAL,29.95,1360.69,CA,US,0,0,0,0,5,1,0,2019
180,ECOMMERCE,22.0,MANUAL,30.0,3655.28,CA,US,0,0,0,0,7,1,0,2019
181,OTHER,18.0,CHIP,507.72,3095.45,AZ,US,1,1,1,0,21,1,0,2019
182,ECOMMERCE,24.0,MANUAL,49.99,4748.15,AR,US,0,0,0,0,9,1,0,2019
183,ECOMMERCE,21.0,MANUAL,53.98,1257.68,AR,US,0,0,0,0,16,1,0,2019
184,ECOMMERCE,25.0,MANUAL,51.91,769.91,AR,US,0,0,0,0,20,1,0,2019
185,OTHER,29.0,MAGSTRIPE,7.56,5.13,FL,US,1,1,1,0,23,1,0,2019
186,ECOMMERCE,22.0,MANUAL,15.95,25.0,CA,US,0,0,0,0,10,1,0,2019
187,ECOMMERCE,24.0,MANUAL,18.38,0.12,AR,US,0,0,0,0,3,1,0,2019
188,ECOMMERCE,21.0,MANUAL,500.0,0.0,CA,US,0,0,0,0,23,1,0,2019
189,ECOMMERCE,23.0,MANUAL,26.86,233.86,FL,US,0,0,0,0,19,1,0,2019
190,OTHER,31.0,CHIP,13.16,186.57,FL,US,1,1,1,0,0,1,0,2019
191,ECOMMERCE,30.0,MANUAL,10.23,1382.81,NJ,US,0,0,0,0,5,1,0,2019
192,OTHER,36.0,CHIP,23.15,6.62,FL,US,1,1,1,0,22,1,0,2019
193,ECOMMERCE,23.0,MANUAL,31.49,3240.19,CA,US,0,0,0,0,7,1,0,2019
194,ECOMMERCE,34.0,MANUAL,13.55,1879.37,AR,US,0,0,0,0,23,1,0,2019
195,ECOMMERCE,24.0,MANUAL,21.38,638.53,WA,US,0,0,0,0,2,1,0,2019
196,OTHER,25.0,CHIP,344.09,762.76,MN,US,1,1,1,0,20,1,0,2019
197,ECOMMERCE,3.0,MANUAL,12.88,96.39,CA,US,0,0,0,0,18,1,0,2019
198,ECOMMERCE,23.0,MANUAL,2.14,1480.67,NJ,US,0,0,0,0,2,1,0,2019
199,ECOMMERCE,22.0,MANUAL,8.46,380.38,NJ,US,0,0,0,0,3,1,0,2019
200,ECOMMERCE,21.0,MANUAL,35.95,3688.88,CA,US,0,0,0,0,7,1,0,2019
201,ECOMMERCE,17.0,MANUAL,24.0,497.37,CA,US,0,0,0,0,6,1,0,2019
202,ECOMMERCE,20.0,MANUAL,139.95,1154.42,CA,US,0,0,0,0,5,1,0,2019
203,ECOMMERCE,27.0,MANUAL,161.49,12066.91,UT,US,0,0,0,0,9,1,0,2019
204,ECOMMERCE,15.0,MANUAL,164.61,952.14,TX,US,0,0,0,0,19,1,0,2019
205,ECOMMERCE,22.0,MANUAL,29.99,3022.68,CA,US,0,0,0,0,7,1,0,2019
206,ECOMMERCE,17.0,MANUAL,83.99,1319.32,UT,US,0,0,0,0,0,1,0,2019
207,ECOMMERCE,20.0,MANUAL,8.69,446.19,NJ,US,0,0,0,0,4,1,0,2019
208,ECOMMERCE,23.0,MANUAL,9.98,183.69,WA,US,0,0,0,0,16,1,0,2019
209,ECOMMERCE,20.0,MANUAL,8.54,411.93,NJ,US,0,0,0,0,4,1,0,2019
210,OTHER,23.0,CHIP,71.63,974.78,TX,US,1,1,1,0,16,1,4,2019
211,ECOMMERCE,17.0,UNKNOWN,1361.99,2621.59,NH,US,0,0,0,0,20,1,4,2019
212,OTHER,18.0,CHIP,67.48,301.79,NJ,US,1,1,0,0,18,1,4,2019
213,ECOMMERCE,14.0,MANUAL,10.0,2650.16,CA,US,0,0,0,0,6,1,4,2019
214,OTHER,13.0,MAGSTRIPE,33.2,199.95,NY,US,1,1,1,0,17,1,4,2019
215,ECOMMERCE,2.0,MANUAL,2.0,60.74,TN,US,0,0,0,0,19,1,4,2019
216,OTHER,16.0,CHIP,30.13,0.0,CA,US,1,1,1,0,19,1,4,2019
217,ECOMMERCE,17.0,MANUAL,25.0,1.0,CA,US,0,0,0,0,17,1,4,2019
218,OTHER,6.0,CHIP,20.41,56.65,NY,US,1,1,0,0,17,1,4,2019
219,ECOMMERCE,25.0,MANUAL,57.75,951.99,NY,US,0,0,0,0,18,1,4,2019
220,ECOMMERCE,22.0,MANUAL,9.95,0.0,CA,US,0,0,0,0,23,1,4,2019
221,OTHER,12.0,MANUAL,23.74,4694.37,PA,US,0,0,0,0,18,1,4,2019
222,ECOMMERCE,16.0,MANUAL,500.66,28.36,WA,US,0,0,0,0,17,1,4,2019
223,OTHER,26.0,CHIP,185.0,80.94,NY,US,1,1,0,0,16,1,4,2019
224,ECOMMERCE,22.0,MANUAL,25.03,318.0,WA,US,0,0,0,0,18,1,4,2019
225,ECOMMERCE,22.0,MANUAL,41.11,1220.14,WA,US,0,0,0,0,22,1,4,2019
226,OTHER,25.0,CHIP,67.32,78.2,GA,US,1,1,0,0,22,1,4,2019
227,ECOMMERCE,23.0,MANUAL,76.85,1551.07,UT,US,0,0,0,0,19,1,4,2019
228,,,,52.79,,,,,,,1,0,1,4,2019
229,OTHER,14.0,MANUAL,7.02,3285.45,PA,US,0,0,0,0,20,1,4,2019
230,ECOMMERCE,31.0,MANUAL,1364.98,6710.04,CA,US,0,0,0,0,8,1,4,2019
231,OTHER,17.0,MAGSTRIPE,20.01,36.64,NY,US,1,1,1,0,17,1,4,2019
232,ECOMMERCE,9.0,MANUAL,49.99,1033.28,CA,US,0,0,0,0,14,1,4,2019
233,ECOMMERCE,13.0,MANUAL,38.41,203.05,AR,US,0,0,0,0,5,1,4,2019
234,OTHER,25.0,MANUAL,33.78,304.53,NY,US,0,0,0,0,17,1,4,2019
235,OTHER,24.0,CHIP,8.83,68.29,TX,US,1,1,1,0,19,1,4,2019
236,OTHER,9.0,CHIP,34.24,233.15,NY,US,1,1,1,0,16,1,4,2019
237,ECOMMERCE,2.0,MANUAL,4.75,1586.27,NC,US,0,0,0,0,14,1,4,2019
238,ECOMMERCE,28.0,MANUAL,8.54,1109.54,NJ,US,0,0,0,0,11,1,4,2019
239,OTHER,17.0,CHIP,23.98,183.64,TX,US,1,1,1,0,14,1,4,2019
240,ECOMMERCE,39.0,MANUAL,50.34,389.28,AR,US,0,0,0,0,2,1,4,2019
241,,,,52.79,,,,,,,1,0,1,4,2019
242,ECOMMERCE,10.0,MANUAL,29.0,223.15,CA,US,0,0,0,0,13,1,4,2019
243,ECOMMERCE,28.0,MANUAL,9.06,75.7,AZ,US,0,0,0,0,1,1,4,2019
244,OTHER,17.0,CHIP,26.49,61.44,TX,US,1,1,1,0,18,1,4,2019
245,ECOMMERCE,17.0,MANUAL,16.95,603.33,OK,US,0,0,0,0,12,1,4,2019
246,ECOMMERCE,27.0,UNKNOWN,3.12,202.16,,EE,0,0,0,0,10,1,4,2019
247,ECOMMERCE,10.0,MANUAL,64.95,835.44,CA,US,0,0,0,0,13,1,4,2019
248,ECOMMERCE,29.0,MANUAL,254.65,6836.07,AZ,US,0,0,0,0,22,1,4,2019
249,ECOMMERCE,10.0,MANUAL,72.69,56.75,TX,US,0,0,0,0,0,1,4,2019
250,OTHER,26.0,CHIP,2.16,820.66,TX,US,1,1,0,0,0,1,4,2019
251,OTHER,22.0,CHIP,116.99,17.35,FL,US,1,1,1,0,15,1,4,2019
252,OTHER,27.0,CHIP,50.69,133.22,TN,US,1,1,1,0,21,1,4,2019
253,OTHER,17.0,CHIP,66.79,30.13,CA,US,1,1,1,0,20,1,4,2019
254,,89.0,,52.79,,,,,,,1,0,1,4,2019
255,ECOMMERCE,37.0,MANUAL,39.45,2022.41,AR,US,0,0,0,0,1,1,4,2019
256,OTHER,17.0,CHIP,7.09,42.49,TN,US,1,1,1,0,18,1,4,2019
257,,,,52.79,,,,,,,1,0,1,5,2019
258,ECOMMERCE,8.0,MANUAL,27.09,654.24,CA,US,0,0,0,0,11,1,5,2019
259,,98.0,,52.79,,,,,,,1,0,1,5,2019
260,ECOMMERCE,46.0,MANUAL,37.59,3872.48,AR,US,0,0,0,0,1,1,5,2019
261,ECOMMERCE,4.0,MANUAL,10.01,0.0,CA,US,0,0,0,0,22,1,5,2019
262,OTHER,26.0,CHIP,24.02,30.39,UT,US,1,1,1,0,19,1,5,2019
263,ECOMMERCE,6.0,MANUAL,1.4,37.47,WA,US,0,0,0,0,8,1,5,2019
264,ECOMMERCE,20.0,MANUAL,11.9,0.0,NV,US,0,0,0,0,0,1,5,2019
265,OTHER,23.0,CHIP,159.42,35.46,SC,US,1,1,0,0,0,1,5,2019
266,OTHER,24.0,MAGSTRIPE,38.37,0.0,16,USA,1,1,1,0,19,1,5,2019
267,OTHER,31.0,CHIP,39.07,46.49,VA,US,1,1,1,0,21,1,5,2019
268,ECOMMERCE,4.0,MANUAL,14.99,418.13,CA,US,0,0,0,0,12,1,5,2019
269,ECOMMERCE,30.0,MANUAL,19.91,199.9,AR,US,0,0,0,0,4,1,5,2019
270,ECOMMERCE,7.0,UNKNOWN,29.33,296.04,TX,US,0,0,0,0,14,1,5,2019
271,OTHER,28.0,CHIP,4.28,33.23,FL,US,1,1,1,0,16,1,5,2019
272,OTHER,10.0,CHIP,6.99,0.0,FL,US,1,1,1,0,1,1,5,2019
273,ECOMMERCE,17.0,MANUAL,29.0,0.0,NY,US,0,0,0,0,22,1,5,2019
274,ECOMMERCE,28.0,MANUAL,207.76,56.41,PA,US,0,0,0,0,6,1,5,2019
275,ECOMMERCE,16.0,MANUAL,43.95,2187.16,CA,US,0,0,0,0,14,1,5,2019
276,OTHER,32.0,MAGSTRIPE,13.0,335.52,TX,US,1,1,1,0,3,1,5,2019
277,OTHER,21.0,CHIP,5.32,918.16,TX,US,1,1,0,0,17,1,5,2019
278,OTHER,25.0,CHIP,31.08,15.85,GA,US,1,1,1,0,23,1,5,2019
279,OTHER,25.0,CHIP,4.22,85.32,MD,US,1,1,1,0,18,1,5,2019
280,OTHER,15.0,MAGSTRIPE,34.0,26.5,TX,US,1,1,1,0,21,1,5,2019
281,ECOMMERCE,37.0,MANUAL,47.62,6162.91,AR,US,0,0,0,0,0,1,5,2019
282,OTHER,16.0,MAGSTRIPE,39.79,0.0,NY,US,1,1,0,0,3,1,5,2019
283,OTHER,19.0,CHIP,44.98,0.0,PA,US,1,1,1,0,20,1,5,2019
284,OTHER,22.0,CHIP,6.4,106.9,FL,US,1,1,1,0,2,1,5,2019
285,OTHER,22.0,CHIP,5.5,22.3,FL,US,1,1,0,0,17,1,5,2019
286,OTHER,17.0,MAGSTRIPE,2.0,0.0,AZ,US,1,1,0,0,21,1,5,2019
287,OTHER,25.0,CHIP,24.0,197.04,VA,US,1,1,1,0,21,1,5,2019
