,user_transaction_time,channel,transaction_risk_score,processing_type,cc_amount,ledger_balance,cc_acceptor_state,acceptor_state,cc_acceptor_country,cardholder_presence,card_presence,partial_approval_capable,pin_present,date,is_fraud
3110965,2019-05-21 12:11:02+00:00,ECOMMERCE,14.0,MANUAL,9.93,8198.28,WA,53,US,0.0,0.0,0.0,False,2019-05-21,0
1117442,2019-05-21 02:59:04+00:00,OTHER,29.0,CHIP,59.91,181.43,CA,6,US,1.0,1.0,1.0,False,2019-05-21,0
1588205,2019-05-21 17:47:59+00:00,OTHER,23.0,CHIP,77.19,354.96,FL,12,US,1.0,1.0,1.0,False,2019-05-21,0
2513426,2019-05-21 13:18:22+00:00,ECOMMERCE,29.0,MANUAL,303.79,8961.83,NJ,34.0,US,0.0,0.0,0.0,False,2019-05-21,0
2157499,2019-05-21 18:22:47+00:00,OTHER,24.0,MAGSTRIPE,11.19,1081.26,IL,17,US,1.0,1.0,0.0,False,2019-05-21,0
492866,2019-05-21 06:58:09+00:00,ECOMMERCE,27.0,MANUAL,30.56,3456.78,AR,5,US,0.0,0.0,0.0,False,2019-05-21,0
492720,2019-05-21 10:38:16+00:00,ECOMMERCE,32.0,MANUAL,47.83,4876.49,AR,5,US,0.0,0.0,0.0,False,2019-05-21,0
492976,2019-05-21 02:01:57+00:00,ECOMMERCE,36.0,MANUAL,35.0,8448.44,AR,5,US,0.0,0.0,0.0,False,2019-05-21,0
1588288,2019-05-21 00:03:42+00:00,OTHER,12.0,CHIP,40.12,2083.82,FL,12,US,1.0,1.0,1.0,False,2019-05-21,0
492559,2019-05-21 18:23:59+00:00,ECOMMERCE,15.0,MANUAL,34.96,1249.83,AR,5,US,0.0,0.0,0.0,False,2019-05-21,0
386,2019-05-21 13:15:02+00:00,ECOMMERCE,71.0,MANUAL,183.63,1131.48,,,GB,0.0,0.0,0.0,False,2019-05-21,1
488593,2019-05-28 17:24:03+00:00,ECOMMERCE,36.0,MANUAL,55.3,2505.2,AR,5,US,0.0,0.0,0.0,False,2019-05-28,0
488993,2019-05-28 07:02:09+00:00,ECOMMERCE,19.0,MANUAL,21.83,12189.7,AR,5,US,0.0,0.0,0.0,False,2019-05-28,0
488920,2019-05-28 08:07:59+00:00,ECOMMERCE,21.0,MANUAL,33.56,1399.43,AR,5,US,0.0,0.0,0.0,False,2019-05-28,0
2727097,2019-05-28 23:53:51+00:00,ECOMMERCE,3.0,MANUAL,30.0,0.0,OH,39.0,US,0.0,0.0,0.0,False,2019-05-28,0
1115472,2019-05-28 10:27:52+00:00,ECOMMERCE,5.0,MANUAL,6.05,398.52,CA,6,US,0.0,0.0,0.0,False,2019-05-28,0
3110208,2019-05-28 19:38:14+00:00,ECOMMERCE,2.0,MANUAL,22.32,292.43,WA,53,US,0.0,0.0,0.0,False,2019-05-28,0
488829,2019-05-28 09:43:57+00:00,ECOMMERCE,27.0,MANUAL,79.99,14382.11,AR,5,US,0.0,0.0,0.0,False,2019-05-28,0
385,2019-05-28 18:36:12+00:00,OTHER,32.0,MANUAL,201.6,248.3,FL,12.0,US,0.0,1.0,1.0,False,2019-05-28,1
71071,2019-05-28 16:49:37+00:00,OTHER,5.0,CHIP,54.91,194.33,OR,41.0,US,1.0,1.0,1.0,False,2019-05-28,0
1115523,2019-05-28 04:32:35+00:00,ECOMMERCE,1.0,MANUAL,109.99,1437.64,CA,6,US,0.0,0.0,0.0,False,2019-05-28,0
1115351,2019-05-28 16:44:40+00:00,ECOMMERCE,9.0,MANUAL,29.77,50.05,CA,6,US,0.0,0.0,0.0,False,2019-05-28,0
1115299,2019-05-28 18:34:31+00:00,OTHER,22.0,CHIP,527.84,0.0,CA,6,US,1.0,1.0,1.0,False,2019-05-28,0
1115409,2019-05-28 12:45:57+00:00,ECOMMERCE,1.0,MANUAL,12.7,1439.5,CA,6,US,0.0,0.0,0.0,False,2019-05-28,0
1115571,2019-05-28 01:02:29+00:00,ECOMMERCE,3.0,MANUAL,98.14,100.0,CA,6,US,0.0,0.0,0.0,False,2019-05-28,0
71129,2019-05-28 09:55:47+00:00,OTHER,17.0,MANUAL,255.52,0.0,MI,26.0,US,0.0,0.0,0.0,False,2019-05-28,0
2936702,2019-05-28 01:19:03+00:00,OTHER,23.0,MAGSTRIPE,13.24,0.0,TX,48.0,US,1.0,1.0,0.0,False,2019-05-28,0
489067,2019-05-28 04:03:43+00:00,ECOMMERCE,11.0,MANUAL,14.19,276.5,AR,5,US,0.0,0.0,0.0,False,2019-05-28,0
1115181,2019-05-28 23:33:08+00:00,OTHER,8.0,CHIP,6.86,270.92,CA,6,US,1.0,1.0,1.0,False,2019-05-28,0
71150,2019-05-28 00:15:48+00:00,OTHER,9.0,CHIP,33.24,117.01,MO,29.0,US,1.0,1.0,0.0,False,2019-05-28,0
2999204,2019-05-28 03:10:17+00:00,ECOMMERCE,16.0,MANUAL,18.04,2700.0,UT,49.0,US,0.0,0.0,0.0,False,2019-05-28,0
69840,2019-06-06 20:13:51+00:00,OTHER,9.0,UNKNOWN,3.57,131.51,RI,44.0,US,0.0,0.0,0.0,False,2019-06-06,0
3109339,2019-06-06 22:26:11+00:00,ECOMMERCE,7.0,MANUAL,38.99,531.17,WA,53,US,0.0,0.0,0.0,False,2019-06-06,0
384,2019-06-06 13:34:37+00:00,ECOMMERCE,93.0,MANUAL,83.99,1871.63,,,IT,0.0,0.0,0.0,False,2019-06-06,1
483553,2019-06-06 13:55:15+00:00,ECOMMERCE,17.0,MANUAL,9.34,2040.67,AR,5,US,0.0,0.0,0.0,False,2019-06-06,0
1111693,2019-06-06 04:17:45+00:00,ECOMMERCE,19.0,MANUAL,52.95,1531.03,CA,06,US,0.0,0.0,0.0,False,2019-06-06,0
1111088,2019-06-06 22:00:21+00:00,ECOMMERCE,1.0,MANUAL,19.9,1045.24,CA,06,US,0.0,0.0,0.0,False,2019-06-06,0
483862,2019-06-06 00:28:09+00:00,ECOMMERCE,32.0,MANUAL,35.41,5139.62,AR,5,US,0.0,0.0,0.0,False,2019-06-06,0
1111094,2019-06-06 21:52:52+00:00,ECOMMERCE,3.0,MANUAL,50.0,920.24,CA,06,US,0.0,0.0,0.0,False,2019-06-06,0
383,2019-06-06 13:59:48+00:00,ECOMMERCE,89.0,MANUAL,48.8,1955.31,,,IT,0.0,0.0,0.0,False,2019-06-06,1
483431,2019-06-06 17:15:28+00:00,ECOMMERCE,30.0,MANUAL,35.76,818.83,AR,5,US,0.0,0.0,0.0,False,2019-06-06,0
2810329,2019-06-06 01:07:45+00:00,ECOMMERCE,3.0,MANUAL,47.12,4335.66,PA,42.0,US,0.0,0.0,0.0,False,2019-06-06,0
1111095,2019-06-06 21:51:09+00:00,ECOMMERCE,1.0,MANUAL,10.28,909.96,CA,06,US,0.0,0.0,0.0,False,2019-06-06,0
1111265,2019-06-06 16:38:22+00:00,ECOMMERCE,13.0,MANUAL,21.06,2252.79,CA,06,US,0.0,0.0,0.0,False,2019-06-06,0
1111361,2019-06-06 12:42:04+00:00,OTHER,55.0,MANUAL,93.95,353.43,CA,06,US,0.0,0.0,0.0,False,2019-06-06,0
1111501,2019-06-06 10:14:18+00:00,ECOMMERCE,1.0,MANUAL,1.57,4160.85,CA,06,US,0.0,0.0,0.0,False,2019-06-06,0
1111382,2019-06-06 12:26:20+00:00,ECOMMERCE,14.0,MANUAL,83.85,2436.18,CA,06,US,0.0,0.0,0.0,False,2019-06-06,0
2445175,2019-06-06 04:39:44+00:00,OTHER,29.0,CHIP,11.81,0.0,NC,37.0,US,1.0,1.0,1.0,False,2019-06-06,0
1586872,2019-06-06 14:43:46+00:00,ECOMMERCE,3.0,UNKNOWN,73.94,2863.04,FL,12,US,0.0,0.0,0.0,False,2019-06-06,0
483595,2019-06-06 12:44:40+00:00,ECOMMERCE,16.0,MANUAL,10.97,2574.63,AR,5,US,0.0,0.0,0.0,False,2019-06-06,0
483478,2019-06-06 16:00:15+00:00,ECOMMERCE,26.0,MANUAL,17.98,1452.57,AR,5,US,0.0,0.0,0.0,False,2019-06-06,0
483594,2019-06-06 12:44:59+00:00,ECOMMERCE,15.0,MANUAL,34.91,956.84,AR,5,US,0.0,0.0,0.0,False,2019-06-06,0
69894,2019-06-06 18:10:26+00:00,OTHER,15.0,CHIP,27.0,0.0,CO,8.0,US,1.0,1.0,0.0,False,2019-06-06,0
1111736,2019-06-06 02:47:15+00:00,ECOMMERCE,1.0,MANUAL,1.92,1364.37,CA,06,US,0.0,0.0,0.0,False,2019-06-06,0
69863,2019-06-06 19:47:04+00:00,OTHER,10.0,UNKNOWN,3.49,300.41,RI,44.0,US,0.0,0.0,0.0,False,2019-06-06,0
3107560,2019-06-25 23:58:37+00:00,ECOMMERCE,18.0,MANUAL,5.98,6738.27,WA,53,US,0.0,0.0,0.0,False,2019-06-25,0
382,2019-06-25 22:22:20+00:00,OTHER,94.0,MANUAL,1021.7,955.53,WA,53.0,US,0.0,1.0,0.0,False,2019-06-25,1
1585184,2019-06-25 16:17:39+00:00,ECOMMERCE,2.0,UNKNOWN,94.9,126.28,FL,12,US,0.0,0.0,0.0,False,2019-06-25,0
1103267,2019-06-25 14:55:18+00:00,OTHER,1.0,MANUAL,181.67,861.71,CA,06,US,0.0,0.0,0.0,False,2019-06-25,0
66501,2019-06-25 03:17:05+00:00,OTHER,10.0,CHIP,5.08,1272.79,OR,41.0,US,1.0,1.0,1.0,False,2019-06-25,0
472925,2019-06-25 21:27:17+00:00,ECOMMERCE,20.0,MANUAL,17.46,5207.47,AR,5,US,0.0,0.0,0.0,False,2019-06-25,0
1103029,2019-06-25 22:56:56+00:00,OTHER,18.0,CHIP,27.17,193.96,CA,06,US,1.0,1.0,1.0,False,2019-06-25,0
2512214,2019-06-25 21:43:22+00:00,OTHER,17.0,CHIP,3.49,12.74,NJ,34.0,US,1.0,1.0,0.0,False,2019-06-25,0
1585162,2019-06-25 17:21:52+00:00,ECOMMERCE,3.0,MANUAL,22.51,4389.61,FL,12,US,0.0,0.0,0.0,False,2019-06-25,0
66484,2019-06-25 14:02:07+00:00,OTHER,10.0,CHIP,19.98,107.3,AZ,4.0,US,1.0,1.0,1.0,False,2019-06-25,0
2155824,2019-06-25 15:14:33+00:00,OTHER,27.0,CHIP,36.27,194.86,IL,17,US,1.0,1.0,1.0,False,2019-06-25,0
2809745,2019-06-25 21:32:19+00:00,OTHER,1.0,MANUAL,26.6,4429.26,PA,42.0,US,0.0,0.0,0.0,False,2019-06-25,0
473173,2019-06-25 08:19:47+00:00,ECOMMERCE,34.0,MANUAL,35.99,3469.57,AR,5,US,0.0,0.0,0.0,False,2019-06-25,0
66395,2019-06-25 22:10:39+00:00,OTHER,13.0,CHIP,24.02,69.05,KS,20.0,US,1.0,1.0,1.0,False,2019-06-25,0
472967,2019-06-25 20:25:57+00:00,OTHER,3.0,CHIP,9.63,0.0,AR,5,US,1.0,1.0,1.0,False,2019-06-25,0
2333411,2019-06-25 18:06:43+00:00,ECOMMERCE,13.0,MANUAL,294.34,427.52,MA,25.0,US,0.0,0.0,0.0,False,2019-06-25,0
1971309,2019-06-25 04:59:35+00:00,ECOMMERCE,21.0,MANUAL,24.99,1595.67,GA,13.0,US,0.0,0.0,1.0,False,2019-06-25,0
473169,2019-06-25 08:24:09+00:00,ECOMMERCE,10.0,MANUAL,25.32,132.34,AR,5,US,0.0,0.0,0.0,False,2019-06-25,0
1103256,2019-06-25 15:06:12+00:00,ECOMMERCE,5.0,MANUAL,23.82,3069.61,CA,06,US,0.0,0.0,0.0,False,2019-06-25,0
473441,2019-06-25 00:24:06+00:00,ECOMMERCE,11.0,MANUAL,20.47,4252.09,AR,5,US,0.0,0.0,0.0,False,2019-06-25,0
1102145,2019-06-28 16:42:23+00:00,ECOMMERCE,6.0,UNKNOWN,33.9,0.0,CA,06,US,0.0,0.0,0.0,False,2019-06-28,0
1584872,2019-06-28 01:07:13+00:00,ECOMMERCE,9.0,MANUAL,23.0,391.61,FL,12,US,0.0,0.0,0.0,False,2019-06-28,0
66007,2019-06-28 22:17:34+00:00,OTHER,21.0,CHIP,7.98,110.29,CT,9.0,US,1.0,1.0,1.0,False,2019-06-28,0
66048,2019-06-28 18:18:15+00:00,OTHER,7.0,CHIP,30.06,0.0,MD,24.0,US,1.0,1.0,1.0,False,2019-06-28,0
471171,2019-06-28 15:30:37+00:00,ECOMMERCE,10.0,MANUAL,11.97,3937.32,AR,5,US,0.0,0.0,0.0,False,2019-06-28,0
381,2019-06-28 16:45:58+00:00,OTHER,82.0,CHIP_FALLBACK,112.35,544.17,FL,12.0,US,1.0,1.0,1.0,False,2019-06-28,1
380,2019-06-28 17:04:02+00:00,OTHER,81.0,CHIP_FALLBACK,18.18,656.52,FL,12.0,US,1.0,1.0,1.0,False,2019-06-28,1
2997930,2019-06-28 15:01:12+00:00,ECOMMERCE,1.0,MANUAL,157.95,7005.85,UT,49.0,US,0.0,0.0,0.0,False,2019-06-28,0
471269,2019-06-28 09:16:50+00:00,ECOMMERCE,30.0,UNKNOWN,32.81,5317.47,AR,5,US,0.0,0.0,0.0,False,2019-06-28,0
471112,2019-06-28 16:55:36+00:00,OTHER,12.0,MAGSTRIPE,23.9,23.17,AR,5,US,1.0,1.0,0.0,False,2019-06-28,0
471479,2019-06-28 04:21:46+00:00,ECOMMERCE,23.0,MANUAL,34.96,11723.84,AR,5,US,0.0,0.0,0.0,False,2019-06-28,0
471516,2019-06-28 02:26:15+00:00,ECOMMERCE,19.0,MANUAL,41.68,3343.23,AR,5,US,0.0,0.0,0.0,False,2019-06-28,0
471320,2019-06-28 07:42:21+00:00,ECOMMERCE,26.0,UNKNOWN,105.0,6253.47,AR,5,US,0.0,0.0,0.0,False,2019-06-28,0
3107330,2019-06-28 13:00:51+00:00,ECOMMERCE,1.0,MANUAL,0.8,66.49,WA,53,US,0.0,0.0,0.0,False,2019-06-28,0
2512132,2019-06-28 13:03:43+00:00,ECOMMERCE,18.0,MANUAL,24.91,964.28,NJ,34.0,US,0.0,0.0,0.0,False,2019-06-28,0
2934607,2019-06-28 03:33:30+00:00,OTHER,27.0,CHIP,109.33,2679.18,TX,48.0,US,1.0,1.0,0.0,False,2019-06-28,0
1102320,2019-06-28 00:47:39+00:00,ECOMMERCE,30.0,MANUAL,70.0,2767.0,CA,06,US,0.0,0.0,0.0,False,2019-06-28,0
66081,2019-06-28 13:53:48+00:00,OTHER,33.0,MAGSTRIPE,29.67,0.0,CO,8.0,US,0.0,0.0,1.0,False,2019-06-28,0
471437,2019-06-28 05:09:55+00:00,ECOMMERCE,27.0,MANUAL,46.5,14523.72,AR,5,US,0.0,0.0,0.0,False,2019-06-28,0
2934487,2019-06-29 19:31:42+00:00,ECOMMERCE,26.0,MANUAL,42.02,3886.43,TX,48.0,US,0.0,0.0,0.0,False,2019-06-29,0
1584748,2019-06-29 23:13:14+00:00,ECOMMERCE,4.0,UNKNOWN,20.18,444.71,FL,12,US,0.0,0.0,0.0,False,2019-06-29,0
65934,2019-06-29 23:25:39+00:00,ECOMMERCE,19.0,MANUAL,13.36,99.62,KY,21.0,US,0.0,0.0,0.0,False,2019-06-29,0
3027219,2019-06-29 23:42:00+00:00,OTHER,20.0,CHIP,24.01,319.97,VA,51.0,US,1.0,1.0,1.0,False,2019-06-29,0
1102005,2019-06-29 00:11:07+00:00,OTHER,30.0,CHIP,73.35,58.92,CA,06,US,1.0,1.0,0.0,False,2019-06-29,0
65981,2019-06-29 14:34:06+00:00,ECOMMERCE,2.0,UNKNOWN,10.0,239.99,AL,1.0,US,0.0,0.0,0.0,False,2019-06-29,0
1584807,2019-06-29 01:53:48+00:00,ECOMMERCE,18.0,MANUAL,69.93,762.7,FL,12,US,0.0,0.0,0.0,False,2019-06-29,0
376,2019-06-29 19:05:26+00:00,OTHER,80.0,CHIP_FALLBACK,9.63,999.66,FL,12.0,US,1.0,1.0,1.0,False,2019-06-29,1
378,2019-06-29 15:27:11+00:00,OTHER,59.0,CHIP_FALLBACK,79.13,1037.09,FL,12.0,US,1.0,1.0,1.0,False,2019-06-29,1
379,2019-06-29 06:21:01+00:00,OTHER,35.0,CHIP_FALLBACK,103.15,896.51,FL,12.0,US,1.0,1.0,0.0,False,2019-06-29,1
65947,2019-06-29 20:19:48+00:00,OTHER,5.0,CHIP,24.2,59.95,OR,41.0,US,1.0,1.0,0.0,False,2019-06-29,0
470800,2019-06-29 07:03:31+00:00,ECOMMERCE,10.0,MANUAL,52.16,334.65,AR,5,US,0.0,0.0,0.0,False,2019-06-29,0
470925,2019-06-29 04:29:56+00:00,ECOMMERCE,28.0,UNKNOWN,39.97,1298.61,AR,5,US,0.0,0.0,0.0,False,2019-06-29,0
2155577,2019-06-29 19:10:32+00:00,ECOMMERCE,16.0,MANUAL,48.4,2860.59,IL,17,US,0.0,0.0,0.0,False,2019-06-29,0
377,2019-06-29 15:27:51+00:00,OTHER,70.0,CHIP_FALLBACK,27.8,1009.29,FL,12.0,US,1.0,1.0,1.0,False,2019-06-29,1
1101926,2019-06-29 15:31:50+00:00,OTHER,36.0,CHIP,16.05,42.87,CA,06,US,1.0,1.0,1.0,False,2019-06-29,0
375,2019-07-19 03:15:35+00:00,OTHER,25.0,MAGSTRIPE,5.32,504.77,,,JP,1.0,1.0,0.0,False,2019-07-19,1
374,2019-07-19 04:43:13+00:00,OTHER,45.0,MAGSTRIPE,17.98,551.76,,,JP,1.0,1.0,0.0,False,2019-07-19,1
373,2019-07-19 12:40:16+00:00,OTHER,26.0,MAGSTRIPE,7.56,497.21,,,JP,1.0,1.0,0.0,False,2019-07-19,1
1094213,2019-07-19 05:36:50+00:00,ECOMMERCE,1.0,UNKNOWN,22.0,4439.77,CA,06,US,0.0,0.0,0.0,False,2019-07-19,0
1583143,2019-07-19 00:24:42+00:00,ECOMMERCE,1.0,MANUAL,51.3,2942.67,FL,12,US,0.0,0.0,0.0,False,2019-07-19,0
3307037,2019-07-19 21:51:08+00:00,ECOMMERCE,13.0,MANUAL,169.93,500.53,WI,55.0,US,0.0,0.0,0.0,False,2019-07-19,0
2652736,2019-07-19 13:37:53+00:00,OTHER,23.0,CHIP,29.67,121.68,NY,36,US,1.0,1.0,0.0,False,2019-07-19,0
1094065,2019-07-19 13:06:48+00:00,ECOMMERCE,1.0,MANUAL,25.0,25.0,CA,06,US,0.0,0.0,0.0,False,2019-07-19,0
1093976,2019-07-19 17:56:15+00:00,OTHER,17.0,MANUAL,182.8,172.8,CA,06,US,0.0,0.0,0.0,False,2019-07-19,0
3105126,2019-07-19 21:48:49+00:00,ECOMMERCE,7.0,MANUAL,67.61,69.13,WA,53,US,0.0,0.0,0.0,False,2019-07-19,0
1094072,2019-07-19 11:50:26+00:00,ECOMMERCE,3.0,UNKNOWN,23.99,2168.83,CA,06,US,0.0,0.0,0.0,False,2019-07-19,0
457754,2019-07-19 20:40:25+00:00,ECOMMERCE,12.0,UNKNOWN,65.61,228.42,AR,5,US,0.0,0.0,0.0,False,2019-07-19,0
3105188,2019-07-19 03:32:53+00:00,ECOMMERCE,7.0,MANUAL,12.84,1341.23,WA,53,US,0.0,0.0,0.0,False,2019-07-19,0
2933010,2019-07-19 21:22:01+00:00,OTHER,28.0,MAGSTRIPE,9.0,261.66,TX,32.0,US,1.0,1.0,0.0,False,2019-07-19,0
458206,2019-07-19 02:42:39+00:00,ECOMMERCE,26.0,MANUAL,27.35,5302.5,AR,5,US,0.0,0.0,0.0,False,2019-07-19,0
2652715,2019-07-19 21:24:16+00:00,OTHER,20.0,CHIP,82.09,316.07,NY,36,US,1.0,1.0,1.0,False,2019-07-19,0
457774,2019-07-19 17:38:39+00:00,ECOMMERCE,18.0,MANUAL,35.87,3770.75,AR,5,US,0.0,0.0,0.0,False,2019-07-19,0
1094007,2019-07-19 16:22:05+00:00,OTHER,4.0,MANUAL,61.55,404.27,CA,06,US,0.0,0.0,0.0,False,2019-07-19,0
1094109,2019-07-19 10:35:22+00:00,ECOMMERCE,7.0,UNKNOWN,49.85,1092.52,CA,06,US,0.0,0.0,0.0,False,2019-07-19,0
457808,2019-07-19 16:41:04+00:00,ECOMMERCE,25.0,MANUAL,37.33,6286.82,AR,5,US,0.0,0.0,0.0,False,2019-07-19,0
1970224,2019-07-19 16:08:08+00:00,OTHER,16.0,CHIP,5.81,269.25,GA,13.0,US,1.0,1.0,1.0,False,2019-07-19,0
2333259,2019-07-19 19:01:08+00:00,OTHER,20.0,CHIP,13.52,63.04,MA,25.0,US,1.0,1.0,1.0,False,2019-07-19,0
2997211,2019-07-19 00:11:09+00:00,ECOMMERCE,1.0,MANUAL,141.52,9059.41,UT,49.0,US,0.0,0.0,0.0,False,2019-07-19,0
372,2019-07-20 04:53:00+00:00,OTHER,21.0,MAGSTRIPE,16.3,341.11,,,JP,1.0,1.0,0.0,False,2019-07-20,1
457382,2019-07-20 14:24:42+00:00,ECOMMERCE,16.0,MANUAL,29.11,3967.52,AR,5,US,0.0,0.0,0.0,False,2019-07-20,0
1093489,2019-07-20 22:45:29+00:00,ECOMMERCE,11.0,MANUAL,3.5,433.27,CA,06,US,0.0,0.0,0.0,False,2019-07-20,0
63601,2019-07-20 17:47:46+00:00,OTHER,4.0,CHIP,38.16,383.81,WV,54,US,1.0,1.0,1.0,False,2019-07-20,0
371,2019-07-20 11:35:22+00:00,OTHER,28.0,MAGSTRIPE,7.56,333.55,,,JP,1.0,1.0,0.0,False,2019-07-20,1
2808906,2019-07-20 23:28:38+00:00,ECOMMERCE,12.0,MANUAL,67.17,721.28,PA,42.0,US,0.0,0.0,0.0,False,2019-07-20,0
1093526,2019-07-20 20:44:58+00:00,ECOMMERCE,6.0,MANUAL,15.82,246.18,CA,06,US,0.0,0.0,0.0,False,2019-07-20,0
1583031,2019-07-20 05:36:26+00:00,ECOMMERCE,11.0,MANUAL,30.0,423.16,FL,12,US,0.0,0.0,0.0,False,2019-07-20,0
457201,2019-07-20 22:18:52+00:00,ECOMMERCE,13.0,MANUAL,16.13,5172.36,AR,5,US,0.0,0.0,0.0,False,2019-07-20,0
1093533,2019-07-20 19:57:10+00:00,ECOMMERCE,1.0,UNKNOWN,19.99,4004.41,CA,06,US,0.0,0.0,0.0,False,2019-07-20,0
457190,2019-07-20 22:40:25+00:00,ECOMMERCE,15.0,MANUAL,11.93,3044.29,AR,5,US,0.0,0.0,0.0,False,2019-07-20,0
457413,2019-07-20 12:31:03+00:00,ECOMMERCE,10.0,MANUAL,30.47,5949.73,AR,5,US,0.0,0.0,0.0,False,2019-07-20,0
457597,2019-07-20 02:59:02+00:00,ECOMMERCE,4.0,UNKNOWN,18.07,1362.03,AR,5,US,0.0,0.0,0.0,False,2019-07-20,0
457327,2019-07-20 16:25:58+00:00,ECOMMERCE,14.0,UNKNOWN,63.24,3693.59,AR,5,US,0.0,0.0,0.0,False,2019-07-20,0
457516,2019-07-20 06:33:59+00:00,ECOMMERCE,22.0,MANUAL,37.61,5831.23,AR,5,US,0.0,0.0,0.0,False,2019-07-20,0
2154635,2019-07-20 20:41:10+00:00,OTHER,14.0,CHIP,7.61,52.64,IL,17,US,1.0,1.0,0.0,False,2019-07-20,0
370,2019-08-17 20:54:23+00:00,ECOMMERCE,38.0,MANUAL,442.1,0.0,,,SA,0.0,0.0,0.0,False,2019-08-17,1
3102304,2019-08-17 22:48:06+00:00,ECOMMERCE,3.0,UNKNOWN,10.0,0.0,WA,53,US,0.0,0.0,0.0,False,2019-08-17,0
2510729,2019-08-17 21:17:34+00:00,ECOMMERCE,41.0,MANUAL,69.7,1292.79,NJ,34.0,US,0.0,0.0,0.0,False,2019-08-17,0
2388783,2019-08-17 23:14:00+00:00,ECOMMERCE,16.0,UNKNOWN,5.29,17443.81,MN,27.0,US,0.0,0.0,0.0,False,2019-08-17,0
443391,2019-08-17 01:15:06+00:00,ECOMMERCE,5.0,MANUAL,69.98,3521.27,AR,5,US,0.0,0.0,0.0,False,2019-08-17,0
59409,2019-08-17 00:44:00+00:00,ECOMMERCE,11.0,MANUAL,11.93,87.81,MI,26,US,0.0,0.0,0.0,False,2019-08-17,0
2930645,2019-08-17 11:51:41+00:00,OTHER,26.0,MANUAL,111.55,166.34,TX,48.0,US,1.0,1.0,0.0,False,2019-08-17,0
59312,2019-08-17 18:12:13+00:00,OTHER,29.0,CHIP,63.35,141.95,AL,01,US,1.0,1.0,0.0,False,2019-08-17,0
2862292,2019-08-17 15:13:09+00:00,OTHER,26.0,CHIP_FALLBACK,164.2,879.16,SC,45.0,US,1.0,1.0,0.0,False,2019-08-17,0
443367,2019-08-17 03:02:16+00:00,ECOMMERCE,27.0,MANUAL,92.99,3776.78,AR,5,US,0.0,0.0,0.0,False,2019-08-17,0
368,2019-08-17 21:08:43+00:00,ECOMMERCE,94.0,MANUAL,136.08,1020.28,,,AE,0.0,0.0,0.0,False,2019-08-17,1
2930662,2019-08-17 01:07:20+00:00,OTHER,30.0,CHIP,51.61,0.0,TX,48.0,US,1.0,1.0,0.0,False,2019-08-17,0
